サービス名,URL,favicon_url,favicon_img,KeyWord,metaDiscription,OGP_url,ogp_img,OGP文章,Title,ドメイン
Cash,https://cash.jp/,https://cash.jp/images/favicon.ico,,なし,目の前のアイテムが、一瞬でキャッシュに変わるアプリ「CASH（キャッシュ）」。必要なキャッシュをいつでも、どこでも、瞬間的に。,https://cash.jp/images/ogp.png,,目の前のアイテムが、一瞬でキャッシュに変わるアプリ「CASH（キャッシュ）」。必要なキャッシュをいつでも、どこでも、瞬間的に。,CASH（キャッシュ）｜目の前のアイテムが 一瞬でキャッシュに変わる,cash.jp
TRAVEL Now,https://travel.app/,https://travel.app/images/favicon.ico,,なし,思い立ったらすぐトラベル。ボタンひとつで即予約。お支払いもあとでいいから、行きたい時にすぐ旅行に行けます！,https://travel.app/images/ogp.png,,思い立ったらすぐトラベル。ボタンひとつで即予約。お支払いもあとでいいから、行きたい時にすぐ旅行に行けます！,TRAVEL Now（トラベルナウ）｜思い立ったら すぐトラベル,travel.app
メルカリ,https://www.mercari.com/jp/,https://www-mercari-jp.akamaized.net/apple-touch-icon-114x114.png?1142669995,,なし,CMで話題！フリマアプリ「メルカリ」は、スマホから誰でも簡単に売り買いが楽しめるフリマアプリです。購入時はクレジットカード・キャリア決済・コンビニ・銀行ATMで支払いでき、品物が届いてから出品者に入金される独自システムで安心です。,https://www.mercari.com/jp/assets/img/common/jp/ogp.png,,CMで話題！フリマアプリ「メルカリ」は、スマホから誰でも簡単に売り買いが楽しめるフリマアプリです。購入時はクレジットカード・キャリア決済・コンビニ・銀行ATMで支払いでき、品物が届いてから出品者に入金される独自システムで安心です。,メルカリ スマホでかんたん フリマアプリ,www.mercari.com
ラクマ,https://fril.jp/,https://asset.fril.jp/assets/favicon-72213fdd23ea24fe6c1280c75ac8b2bf8ad1025a118738e90c45d8264a6c0e7b.ico,,なし,楽天のフリマアプリ「ラクマ」は販売手数料が安い！オークションよりも簡単、フリーマーケットのように自由に販売、通販ショッピング感覚で購入できます。手数料が安く、PC/スマホサイトで無料で使えるフリマサイトです。楽天スーパーポイントも利用できます。,https://static.fril.jp/img/rakuma_ogp.png,,楽天のフリマアプリ「ラクマ」は販売手数料が安い！オークションよりも簡単、フリーマーケットのように自由に販売、通販ショッピング感覚で購入できます。手数料が安く、PC/スマホサイトで無料で使えるフリマサイトです。楽天スーパーポイントも利用できます。,ラクマ（旧フリル） | 楽天のフリマアプリ - 中古/未使用品がお得！,fril.jp
minne,https://minne.com/,https://minne.com/favicon-152.png,,"ハンドメイド,マーケット,手作り,minne,ミンネ",ハンドメイドマーケット minne(ミンネ) は手作り・クラフトなどの販売・購入が楽しめるハンドメイドマーケットです。アクセサリーやファッション、バッグ、インテリア家具など1点モノのハンドメイド作品がたくさん！きっと好みの作家さんに出会えます。また手作り品やアート作品、素材・材料などの販売も簡単に行えます。,https://minne.com/ogimage.jpg,,ハンドメイドマーケット minne(ミンネ) は手作り・クラフトなどの販売・購入が楽しめるハンドメイドマーケットです。アクセサリーやファッション、バッグ、インテリア家具など1点モノのハンドメイド作品がたくさん！きっと好みの作家さんに出会えます。また手作り品やアート作品、素材・材料などの販売も簡単に行えます。,minne | ハンドメイド・手作り・クラフト作品のマーケット,minne.com
creama,https://www.creema.jp/,https://www.creema.jp/apple-touch-icon-32x32.png,,"ハンドメイド, 手仕事, 手作り, 販売, 出品, クリーマ, Creema, アクセサリー, ジュエリー, プレゼント",ハンドメイド、手作り、クラフト作品を通販・販売できるマーケットプレイス Creema。全国の作家による手仕事のアクセサリー、雑貨、バッグ、ジュエリー等をネット・アプリで直接売買できる場です。ハンドメイドインジャパンフェス in 東京ビッグサイト開催。,assets/noimage.png,,,Creema ｜ ハンドメイド・手作り・クラフト作品の通販、販売サイト,www.creema.jp
ポケットマルシェ,https://poke-m.com/,https://poke-m.com/assets/favicon-93bb85986ce97e2a21dac5affe5019a02f811b3171dd251e7ad8c8ae5ad51b4c.ico,,"ポケットマルシェ,ポケマル,pocket marche,野菜,食材,生産者,農家,漁師,通販,肉,魚",ポケットマルシェは、全国の農家さん漁師さんから直接食材を買えて、直接話せるオンラインの産直市場です。スマホ1つで簡単！生産者直送ならではの、旬の野菜や果物、魚、肉などがおいしい鮮度で届きます。,https://poke-m.com/assets/ogp-fdfa30259e6483ac74ad41534163f323bca38c5c81e5874f56fade016aad25db.png,,ポケットマルシェは、全国の農家さん漁師さんから直接食材を買えて、直接話せるオンラインの産直市場です。スマホ1つで簡単！生産者直送ならではの、旬の野菜や果物、魚、肉などがおいしい鮮度で届きます。,ポケットマルシェ（ポケマル）｜旬の食べものを農家・漁師から,poke-m.com
CAMPFIRE,https://camp-fire.jp/,https://camp-fire.jp/favicon.ico,,"クラウドファンディング,資金調達,CAMPFIRE,キャンプファイヤー,ソーシャルファンディング,クリエイター,少額出資,プレオーダー",安心と愛情たっぷりのクラウドファンディングを。充実のサポート体制で、だれでもあんしんしてクラウドファンディングを始められます。プロジェクト掲載数・PV数も国内No.1。,https://cdn.camp-fire.jp/img/default_og.png?1530262819,,安心と愛情たっぷりのクラウドファンディングを。充実のサポート体制で、だれでもあんしんしてクラウドファンディングを始められます。プロジェクト掲載数・PV数も国内No.1。,クラウドファンディング - CAMPFIRE（キャンプファイヤー）,camp-fire.jp
Readyfor,https://readyfor.jp/,https://readyfor.jp/assets/favicon/favicon-96x96-5dcf6b334d73295abcf7550052cbdaa0fb0f91f604456de4a563a0e53b4b0270.png,,"Readyfor, レディーフォー, クラウドファンディング, ソーシャルファンディング, 資金調達, 米良はるか, クリエーター",日本初・実績No.1のクラウドファンディングサイト「Readyfor」では、アイデア相談から実現まで1対1の担当者制であなたのクラウドファンディング挑戦を徹底的にサポート！まずは無料相談から。,https://readyfor.jp/assets/og_image/top-3c805b351d3b7fb9f6ab3efc2d698c89c5db8cbba8b9d824bd469a7c1350ba01.png,,日本初・実績No.1のクラウドファンディングサイト「Readyfor」では、アイデア相談から実現まで1対1の担当者制であなたのクラウドファンディング挑戦を徹底的にサポート！まずは無料相談から。,クラウドファンディング - Readyfor（レディーフォー）,readyfor.jp
MAKUAKE,https://www.makuake.com/,https://cdn-m.makuake.com/rev_2018/07/14/205301/img/favicon.ico,,"クラウドファンディング,資金調達,Makuake,マクアケ,crowdfunding",クラウドファンディングとは、自らのアイデアをネット上でプレゼンテーションすることで、そのアイデアへの賛同者を集められる仕組みです。Makuake（マクアケ）は、アイデアを持っている勇敢なチャレンジャーを全力で応援します。あなたのアイデアを是非実現させましょう。,https://cdn-m.makuake.com/rev_2018/07/14/205301/img/logo_fb.jpg,,Makuakeは面白いアイデアが毎日続々と登場する国内最大級のクラウドファンディングサービスです。熱い挑戦を応援します。,クラウドファンディング　-　Makuake（マクアケ）：サイバーエージェントグループ,www.makuake.com
